,account_check_status,duration_in_month,credit_history,purpose,credit_amount,savings,present_emp_since,installment_as_income_perc,personal_status_sex,other_debtors,present_res_since,property,age,other_installment_plans,housing,credits_this_bank,job,people_under_maintenance,telephone,foreign_worker
271,no checking account,12,critical account/ other credits existing (not at this bank),radio/television,1402,500 <= ... < 1000 DM ,4 <= ... < 7 years,3,female : divorced/separated/married,none,4,"if not A121/A122 : car or other, not in attribute 6",37,none,rent,1,skilled employee / official,1,"yes, registered under the customers name ",yes
272,0 <= ... < 200 DM,48,all credits at this bank paid back duly,car (new),12169,unknown/ no savings account,unemployed,4,male : single,co-applicant,4,unknown / no property,36,none,for free,1,management/ self-employed/ highly qualified employee/ officer,1,"yes, registered under the customers name ",yes
273,0 <= ... < 200 DM,48,existing credits paid back duly till now,domestic appliances,3060,... < 100 DM,4 <= ... < 7 years,4,male : single,none,4,real estate,28,none,own,2,skilled employee / official,1,none,yes
274,< 0 DM,30,existing credits paid back duly till now,education,11998,... < 100 DM,... < 1 year ,1,male : divorced/separated,none,1,unknown / no property,34,none,own,1,unskilled - resident,1,"yes, registered under the customers name ",yes
275,no checking account,9,existing credits paid back duly till now,domestic appliances,2697,... < 100 DM,1 <= ... < 4 years,1,male : single,none,2,real estate,32,none,own,1,skilled employee / official,2,none,yes
276,no checking account,18,critical account/ other credits existing (not at this bank),domestic appliances,2404,... < 100 DM,1 <= ... < 4 years,2,female : divorced/separated/married,none,2,"if not A121/A122 : car or other, not in attribute 6",26,none,own,2,skilled employee / official,1,none,yes
277,< 0 DM,12,existing credits paid back duly till now,radio/television,1262,unknown/ no savings account,.. >= 7 years,2,male : divorced/separated,none,4,if not A121 : building society savings agreement/ life insurance,49,none,own,1,unskilled - resident,1,"yes, registered under the customers name ",yes
278,no checking account,6,existing credits paid back duly till now,radio/television,4611,... < 100 DM,... < 1 year ,1,female : divorced/separated/married,none,4,if not A121 : building society savings agreement/ life insurance,32,none,own,1,skilled employee / official,1,none,yes
279,no checking account,24,existing credits paid back duly till now,domestic appliances,1901,100 <= ... < 500 DM,1 <= ... < 4 years,4,male : single,none,4,"if not A121/A122 : car or other, not in attribute 6",29,none,rent,1,management/ self-employed/ highly qualified employee/ officer,1,"yes, registered under the customers name ",yes
280,no checking account,15,critical account/ other credits existing (not at this bank),car (used),3368,.. >= 1000 DM ,.. >= 7 years,3,male : single,none,4,unknown / no property,23,none,rent,2,skilled employee / official,1,"yes, registered under the customers name ",yes
281,no checking account,12,existing credits paid back duly till now,radio/television,1574,... < 100 DM,1 <= ... < 4 years,4,male : single,none,2,real estate,50,none,own,1,skilled employee / official,1,none,yes
282,>= 200 DM / salary assignments for at least 1 year,18,all credits at this bank paid back duly,domestic appliances,1445,unknown/ no savings account,4 <= ... < 7 years,4,male : single,none,4,"if not A121/A122 : car or other, not in attribute 6",49,bank,own,1,unskilled - resident,1,none,yes
283,no checking account,15,critical account/ other credits existing (not at this bank),radio/television,1520,unknown/ no savings account,.. >= 7 years,4,male : single,none,4,if not A121 : building society savings agreement/ life insurance,63,none,own,1,skilled employee / official,1,none,yes
284,0 <= ... < 200 DM,24,critical account/ other credits existing (not at this bank),car (new),3878,100 <= ... < 500 DM,... < 1 year ,4,male : divorced/separated,none,2,"if not A121/A122 : car or other, not in attribute 6",37,none,own,1,skilled employee / official,1,"yes, registered under the customers name ",yes
285,< 0 DM,47,existing credits paid back duly till now,car (new),10722,... < 100 DM,... < 1 year ,1,female : divorced/separated/married,none,1,real estate,35,none,own,1,unskilled - resident,1,"yes, registered under the customers name ",yes
286,< 0 DM,48,existing credits paid back duly till now,car (used),4788,... < 100 DM,4 <= ... < 7 years,4,male : single,none,3,if not A121 : building society savings agreement/ life insurance,26,none,own,1,skilled employee / official,2,none,yes
287,0 <= ... < 200 DM,48,delay in paying off in the past,furniture/equipment,7582,100 <= ... < 500 DM,unemployed,2,male : single,none,4,unknown / no property,31,none,for free,1,management/ self-employed/ highly qualified employee/ officer,1,"yes, registered under the customers name ",yes
288,0 <= ... < 200 DM,12,existing credits paid back duly till now,domestic appliances,1092,... < 100 DM,1 <= ... < 4 years,4,female : divorced/separated/married,guarantor,4,real estate,49,none,own,2,skilled employee / official,1,"yes, registered under the customers name ",yes
289,< 0 DM,24,delay in paying off in the past,domestic appliances,1024,... < 100 DM,... < 1 year ,4,male : married/widowed,none,4,real estate,48,stores,own,1,skilled employee / official,1,none,yes
290,no checking account,12,existing credits paid back duly till now,business,1076,... < 100 DM,1 <= ... < 4 years,2,male : married/widowed,none,2,real estate,26,none,own,1,skilled employee / official,1,"yes, registered under the customers name ",no
291,0 <= ... < 200 DM,36,existing credits paid back duly till now,car (used),9398,... < 100 DM,... < 1 year ,1,male : married/widowed,none,4,"if not A121/A122 : car or other, not in attribute 6",28,none,rent,1,management/ self-employed/ highly qualified employee/ officer,1,"yes, registered under the customers name ",yes
292,< 0 DM,24,critical account/ other credits existing (not at this bank),car (used),6419,... < 100 DM,.. >= 7 years,2,female : divorced/separated/married,none,4,unknown / no property,44,none,for free,2,management/ self-employed/ highly qualified employee/ officer,2,"yes, registered under the customers name ",yes
293,>= 200 DM / salary assignments for at least 1 year,42,critical account/ other credits existing (not at this bank),car (used),4796,... < 100 DM,.. >= 7 years,4,male : single,none,4,unknown / no property,56,none,for free,1,skilled employee / official,1,none,yes
294,no checking account,48,critical account/ other credits existing (not at this bank),business,7629,unknown/ no savings account,.. >= 7 years,4,male : divorced/separated,none,2,"if not A121/A122 : car or other, not in attribute 6",46,bank,own,2,management/ self-employed/ highly qualified employee/ officer,2,none,yes
295,0 <= ... < 200 DM,48,existing credits paid back duly till now,radio/television,9960,... < 100 DM,... < 1 year ,1,female : divorced/separated/married,none,2,"if not A121/A122 : car or other, not in attribute 6",26,none,own,1,skilled employee / official,1,"yes, registered under the customers name ",yes
296,no checking account,12,existing credits paid back duly till now,car (used),4675,unknown/ no savings account,... < 1 year ,1,female : divorced/separated/married,none,4,"if not A121/A122 : car or other, not in attribute 6",20,none,rent,1,skilled employee / official,1,none,yes
297,no checking account,10,existing credits paid back duly till now,car (new),1287,unknown/ no savings account,.. >= 7 years,4,male : single,co-applicant,2,if not A121 : building society savings agreement/ life insurance,45,none,own,1,unskilled - resident,1,none,no
298,no checking account,18,existing credits paid back duly till now,radio/television,2515,... < 100 DM,1 <= ... < 4 years,3,male : single,none,4,real estate,43,none,own,1,skilled employee / official,1,"yes, registered under the customers name ",yes
299,0 <= ... < 200 DM,21,critical account/ other credits existing (not at this bank),radio/television,2745,.. >= 1000 DM ,4 <= ... < 7 years,3,male : single,none,2,"if not A121/A122 : car or other, not in attribute 6",32,none,own,2,skilled employee / official,1,"yes, registered under the customers name ",yes
300,no checking account,6,existing credits paid back duly till now,car (new),672,... < 100 DM,unemployed,1,female : divorced/separated/married,none,4,real estate,54,none,own,1,unemployed/ unskilled - non-resident,1,"yes, registered under the customers name ",yes
301,0 <= ... < 200 DM,36,no credits taken/ all credits paid back duly,domestic appliances,3804,... < 100 DM,1 <= ... < 4 years,4,female : divorced/separated/married,none,1,"if not A121/A122 : car or other, not in attribute 6",42,none,own,1,skilled employee / official,1,"yes, registered under the customers name ",yes
302,>= 200 DM / salary assignments for at least 1 year,24,critical account/ other credits existing (not at this bank),car (new),1344,unknown/ no savings account,4 <= ... < 7 years,4,male : single,none,2,real estate,37,bank,own,2,unskilled - resident,2,none,yes
303,< 0 DM,10,critical account/ other credits existing (not at this bank),car (new),1038,... < 100 DM,4 <= ... < 7 years,4,male : single,co-applicant,3,if not A121 : building society savings agreement/ life insurance,49,none,own,2,skilled employee / official,1,"yes, registered under the customers name ",yes
304,no checking account,48,critical account/ other credits existing (not at this bank),car (new),10127,500 <= ... < 1000 DM ,1 <= ... < 4 years,2,male : single,none,2,unknown / no property,44,bank,for free,1,skilled employee / official,1,none,yes
305,no checking account,6,existing credits paid back duly till now,radio/television,1543,.. >= 1000 DM ,1 <= ... < 4 years,4,male : divorced/separated,none,2,real estate,33,none,own,1,skilled employee / official,1,none,yes
306,no checking account,30,existing credits paid back duly till now,car (used),4811,unknown/ no savings account,4 <= ... < 7 years,2,female : divorced/separated/married,none,4,if not A121 : building society savings agreement/ life insurance,24,stores,rent,1,unskilled - resident,1,none,yes
307,< 0 DM,12,existing credits paid back duly till now,domestic appliances,727,100 <= ... < 500 DM,... < 1 year ,4,male : married/widowed,none,3,unknown / no property,33,none,own,1,unskilled - resident,1,"yes, registered under the customers name ",yes
308,0 <= ... < 200 DM,8,existing credits paid back duly till now,radio/television,1237,... < 100 DM,1 <= ... < 4 years,3,female : divorced/separated/married,none,4,real estate,24,none,own,1,skilled employee / official,1,none,yes
309,0 <= ... < 200 DM,9,existing credits paid back duly till now,car (new),276,... < 100 DM,1 <= ... < 4 years,4,male : married/widowed,none,4,real estate,22,none,rent,1,unskilled - resident,1,none,yes
310,0 <= ... < 200 DM,48,existing credits paid back duly till now,furniture/equipment,5381,unknown/ no savings account,unemployed,3,male : single,none,4,unknown / no property,40,bank,for free,1,unemployed/ unskilled - non-resident,1,"yes, registered under the customers name ",yes
311,no checking account,24,existing credits paid back duly till now,radio/television,5511,100 <= ... < 500 DM,1 <= ... < 4 years,4,male : single,none,1,"if not A121/A122 : car or other, not in attribute 6",25,stores,own,1,skilled employee / official,1,none,yes
312,>= 200 DM / salary assignments for at least 1 year,24,existing credits paid back duly till now,radio/television,3749,... < 100 DM,... < 1 year ,2,female : divorced/separated/married,none,4,"if not A121/A122 : car or other, not in attribute 6",26,none,own,1,skilled employee / official,1,none,yes
313,0 <= ... < 200 DM,12,existing credits paid back duly till now,car (new),685,... < 100 DM,4 <= ... < 7 years,2,male : married/widowed,none,3,"if not A121/A122 : car or other, not in attribute 6",25,bank,own,1,unskilled - resident,1,none,yes
314,>= 200 DM / salary assignments for at least 1 year,4,existing credits paid back duly till now,car (new),1494,unknown/ no savings account,... < 1 year ,1,male : single,none,2,real estate,29,none,own,1,unskilled - resident,2,none,no
315,< 0 DM,36,all credits at this bank paid back duly,radio/television,2746,... < 100 DM,.. >= 7 years,4,male : single,none,4,"if not A121/A122 : car or other, not in attribute 6",31,bank,own,1,skilled employee / official,1,none,yes
316,< 0 DM,12,existing credits paid back duly till now,radio/television,708,... < 100 DM,1 <= ... < 4 years,2,male : single,guarantor,3,if not A121 : building society savings agreement/ life insurance,38,none,own,1,unskilled - resident,2,none,yes
317,0 <= ... < 200 DM,24,existing credits paid back duly till now,radio/television,4351,unknown/ no savings account,1 <= ... < 4 years,1,female : divorced/separated/married,none,4,if not A121 : building society savings agreement/ life insurance,48,none,own,1,unskilled - resident,1,"yes, registered under the customers name ",yes
318,no checking account,12,critical account/ other credits existing (not at this bank),(vacation - does not exist?),701,... < 100 DM,1 <= ... < 4 years,4,male : single,none,2,"if not A121/A122 : car or other, not in attribute 6",32,none,own,2,skilled employee / official,1,none,yes
319,< 0 DM,15,delay in paying off in the past,radio/television,3643,... < 100 DM,.. >= 7 years,1,female : divorced/separated/married,none,4,if not A121 : building society savings agreement/ life insurance,27,none,own,2,unskilled - resident,1,none,yes
320,0 <= ... < 200 DM,30,critical account/ other credits existing (not at this bank),car (new),4249,... < 100 DM,unemployed,4,male : married/widowed,none,2,"if not A121/A122 : car or other, not in attribute 6",28,none,own,2,management/ self-employed/ highly qualified employee/ officer,1,none,yes
321,< 0 DM,24,existing credits paid back duly till now,domestic appliances,1938,... < 100 DM,... < 1 year ,4,male : divorced/separated,none,3,if not A121 : building society savings agreement/ life insurance,32,none,own,1,skilled employee / official,1,none,yes
322,< 0 DM,24,existing credits paid back duly till now,car (used),2910,... < 100 DM,4 <= ... < 7 years,2,male : single,none,1,unknown / no property,34,none,for free,1,management/ self-employed/ highly qualified employee/ officer,1,"yes, registered under the customers name ",yes
323,< 0 DM,18,existing credits paid back duly till now,radio/television,2659,.. >= 1000 DM ,1 <= ... < 4 years,4,male : single,none,2,"if not A121/A122 : car or other, not in attribute 6",28,none,own,1,skilled employee / official,1,none,yes
324,no checking account,18,critical account/ other credits existing (not at this bank),car (new),1028,... < 100 DM,1 <= ... < 4 years,4,female : divorced/separated/married,none,3,real estate,36,none,own,2,skilled employee / official,1,none,yes
325,< 0 DM,8,critical account/ other credits existing (not at this bank),car (new),3398,... < 100 DM,4 <= ... < 7 years,1,male : single,none,4,real estate,39,none,own,2,unskilled - resident,1,none,no
326,no checking account,12,critical account/ other credits existing (not at this bank),radio/television,5801,unknown/ no savings account,.. >= 7 years,2,male : single,none,4,if not A121 : building society savings agreement/ life insurance,49,none,rent,1,skilled employee / official,1,"yes, registered under the customers name ",yes
327,no checking account,24,existing credits paid back duly till now,car (new),1525,.. >= 1000 DM ,4 <= ... < 7 years,4,female : divorced/separated/married,none,3,"if not A121/A122 : car or other, not in attribute 6",34,none,own,1,skilled employee / official,2,"yes, registered under the customers name ",yes
328,>= 200 DM / salary assignments for at least 1 year,36,existing credits paid back duly till now,domestic appliances,4473,... < 100 DM,.. >= 7 years,4,male : single,none,2,"if not A121/A122 : car or other, not in attribute 6",31,none,own,1,skilled employee / official,1,none,yes
329,0 <= ... < 200 DM,6,existing credits paid back duly till now,domestic appliances,1068,... < 100 DM,.. >= 7 years,4,male : single,none,4,"if not A121/A122 : car or other, not in attribute 6",28,none,own,1,skilled employee / official,2,none,yes
330,< 0 DM,24,critical account/ other credits existing (not at this bank),car (used),6615,... < 100 DM,unemployed,2,male : single,none,4,unknown / no property,75,none,for free,2,management/ self-employed/ highly qualified employee/ officer,1,"yes, registered under the customers name ",yes
331,no checking account,18,critical account/ other credits existing (not at this bank),(vacation - does not exist?),1864,100 <= ... < 500 DM,1 <= ... < 4 years,4,female : divorced/separated/married,none,2,real estate,30,none,own,2,skilled employee / official,1,none,yes
332,0 <= ... < 200 DM,60,existing credits paid back duly till now,car (new),7408,100 <= ... < 500 DM,... < 1 year ,4,female : divorced/separated/married,none,2,if not A121 : building society savings agreement/ life insurance,24,none,own,1,management/ self-employed/ highly qualified employee/ officer,1,none,yes
333,no checking account,48,critical account/ other credits existing (not at this bank),car (used),11590,100 <= ... < 500 DM,1 <= ... < 4 years,2,female : divorced/separated/married,none,4,"if not A121/A122 : car or other, not in attribute 6",24,bank,rent,2,unskilled - resident,1,none,yes
334,< 0 DM,24,no credits taken/ all credits paid back duly,radio/television,4110,... < 100 DM,.. >= 7 years,3,male : single,none,4,unknown / no property,23,bank,rent,2,skilled employee / official,2,none,yes
335,< 0 DM,6,critical account/ other credits existing (not at this bank),radio/television,3384,... < 100 DM,1 <= ... < 4 years,1,male : divorced/separated,none,4,real estate,44,none,rent,1,management/ self-employed/ highly qualified employee/ officer,1,"yes, registered under the customers name ",yes
336,0 <= ... < 200 DM,13,existing credits paid back duly till now,domestic appliances,2101,... < 100 DM,... < 1 year ,2,female : divorced/separated/married,guarantor,4,if not A121 : building society savings agreement/ life insurance,23,none,own,1,unskilled - resident,1,none,yes
337,< 0 DM,15,existing credits paid back duly till now,repairs,1275,unknown/ no savings account,1 <= ... < 4 years,4,female : divorced/separated/married,none,2,"if not A121/A122 : car or other, not in attribute 6",24,none,rent,1,skilled employee / official,1,none,yes
338,< 0 DM,24,existing credits paid back duly till now,radio/television,4169,... < 100 DM,1 <= ... < 4 years,4,male : single,none,4,if not A121 : building society savings agreement/ life insurance,28,none,own,1,skilled employee / official,1,none,yes
339,0 <= ... < 200 DM,10,existing credits paid back duly till now,radio/television,1521,... < 100 DM,1 <= ... < 4 years,4,male : divorced/separated,none,2,"if not A121/A122 : car or other, not in attribute 6",31,none,own,1,unskilled - resident,1,none,yes
340,0 <= ... < 200 DM,24,critical account/ other credits existing (not at this bank),(vacation - does not exist?),5743,... < 100 DM,... < 1 year ,2,female : divorced/separated/married,none,4,unknown / no property,24,none,for free,2,skilled employee / official,1,"yes, registered under the customers name ",yes
341,< 0 DM,21,existing credits paid back duly till now,radio/television,3599,... < 100 DM,4 <= ... < 7 years,1,female : divorced/separated/married,none,4,"if not A121/A122 : car or other, not in attribute 6",26,none,rent,1,unskilled - resident,1,none,yes
342,0 <= ... < 200 DM,18,existing credits paid back duly till now,domestic appliances,3213,500 <= ... < 1000 DM ,... < 1 year ,1,male : married/widowed,none,3,real estate,25,none,rent,1,skilled employee / official,1,none,yes
343,0 <= ... < 200 DM,18,existing credits paid back duly till now,business,4439,... < 100 DM,.. >= 7 years,1,male : single,co-applicant,1,real estate,33,bank,own,1,management/ self-employed/ highly qualified employee/ officer,1,"yes, registered under the customers name ",yes
344,>= 200 DM / salary assignments for at least 1 year,10,existing credits paid back duly till now,car (new),3949,... < 100 DM,... < 1 year ,1,male : single,guarantor,1,if not A121 : building society savings agreement/ life insurance,37,none,own,1,unskilled - resident,2,none,yes
345,no checking account,15,critical account/ other credits existing (not at this bank),domestic appliances,1459,... < 100 DM,1 <= ... < 4 years,4,female : divorced/separated/married,none,2,"if not A121/A122 : car or other, not in attribute 6",43,none,own,1,unskilled - resident,1,none,yes
346,0 <= ... < 200 DM,13,critical account/ other credits existing (not at this bank),domestic appliances,882,... < 100 DM,... < 1 year ,4,male : single,guarantor,4,real estate,23,none,own,2,skilled employee / official,1,none,yes
347,0 <= ... < 200 DM,24,existing credits paid back duly till now,domestic appliances,3758,500 <= ... < 1000 DM ,unemployed,1,female : divorced/separated/married,none,4,unknown / no property,23,none,rent,1,unemployed/ unskilled - non-resident,1,none,yes
348,no checking account,6,delay in paying off in the past,business,1743,100 <= ... < 500 DM,1 <= ... < 4 years,1,male : single,none,2,real estate,34,none,own,2,unskilled - resident,1,none,yes
349,0 <= ... < 200 DM,9,critical account/ other credits existing (not at this bank),(vacation - does not exist?),1136,.. >= 1000 DM ,.. >= 7 years,4,male : single,none,3,unknown / no property,32,none,for free,2,skilled employee / official,2,none,yes
350,no checking account,9,existing credits paid back duly till now,repairs,1236,... < 100 DM,... < 1 year ,1,female : divorced/separated/married,none,4,real estate,23,none,rent,1,skilled employee / official,1,"yes, registered under the customers name ",yes
351,0 <= ... < 200 DM,9,existing credits paid back duly till now,radio/television,959,... < 100 DM,1 <= ... < 4 years,1,female : divorced/separated/married,none,2,"if not A121/A122 : car or other, not in attribute 6",29,none,own,1,skilled employee / official,1,none,no
352,no checking account,18,critical account/ other credits existing (not at this bank),car (used),3229,unknown/ no savings account,unemployed,2,male : single,none,4,unknown / no property,38,none,own,1,management/ self-employed/ highly qualified employee/ officer,1,"yes, registered under the customers name ",yes
353,< 0 DM,12,no credits taken/ all credits paid back duly,domestic appliances,6199,... < 100 DM,1 <= ... < 4 years,4,male : single,none,2,if not A121 : building society savings agreement/ life insurance,28,none,rent,2,skilled employee / official,1,"yes, registered under the customers name ",yes
354,no checking account,10,existing credits paid back duly till now,(vacation - does not exist?),727,500 <= ... < 1000 DM ,.. >= 7 years,4,male : single,none,4,unknown / no property,46,none,for free,1,skilled employee / official,1,"yes, registered under the customers name ",yes
355,0 <= ... < 200 DM,24,existing credits paid back duly till now,car (new),1246,... < 100 DM,... < 1 year ,4,male : single,none,2,real estate,23,stores,own,1,unskilled - resident,1,none,yes
356,no checking account,12,critical account/ other credits existing (not at this bank),domestic appliances,2331,unknown/ no savings account,.. >= 7 years,1,male : single,co-applicant,4,real estate,49,none,own,1,skilled employee / official,1,"yes, registered under the customers name ",yes
357,no checking account,36,delay in paying off in the past,domestic appliances,4463,... < 100 DM,1 <= ... < 4 years,4,male : single,none,2,"if not A121/A122 : car or other, not in attribute 6",26,none,own,2,management/ self-employed/ highly qualified employee/ officer,1,"yes, registered under the customers name ",yes
358,no checking account,12,existing credits paid back duly till now,domestic appliances,776,... < 100 DM,1 <= ... < 4 years,4,male : married/widowed,none,2,real estate,28,none,own,1,skilled employee / official,1,none,yes
359,< 0 DM,30,existing credits paid back duly till now,radio/television,2406,... < 100 DM,4 <= ... < 7 years,4,female : divorced/separated/married,none,4,real estate,23,none,rent,1,skilled employee / official,1,none,yes
360,0 <= ... < 200 DM,18,existing credits paid back duly till now,(vacation - does not exist?),1239,unknown/ no savings account,1 <= ... < 4 years,4,male : single,none,4,unknown / no property,61,none,for free,1,skilled employee / official,1,none,yes
361,>= 200 DM / salary assignments for at least 1 year,12,existing credits paid back duly till now,domestic appliances,3399,unknown/ no savings account,.. >= 7 years,2,male : single,none,3,"if not A121/A122 : car or other, not in attribute 6",37,none,own,1,management/ self-employed/ highly qualified employee/ officer,1,none,yes
362,>= 200 DM / salary assignments for at least 1 year,12,delay in paying off in the past,car (new),2247,... < 100 DM,1 <= ... < 4 years,2,female : divorced/separated/married,none,2,"if not A121/A122 : car or other, not in attribute 6",36,stores,own,2,skilled employee / official,1,"yes, registered under the customers name ",yes
363,no checking account,6,existing credits paid back duly till now,radio/television,1766,... < 100 DM,1 <= ... < 4 years,1,male : married/widowed,none,2,if not A121 : building society savings agreement/ life insurance,21,none,rent,1,skilled employee / official,1,none,yes
364,< 0 DM,18,existing credits paid back duly till now,radio/television,2473,... < 100 DM,unemployed,4,male : single,none,1,"if not A121/A122 : car or other, not in attribute 6",25,none,own,1,unemployed/ unskilled - non-resident,1,none,yes
365,no checking account,12,existing credits paid back duly till now,business,1542,... < 100 DM,4 <= ... < 7 years,2,male : single,none,4,"if not A121/A122 : car or other, not in attribute 6",36,none,own,1,skilled employee / official,1,"yes, registered under the customers name ",yes
366,no checking account,18,critical account/ other credits existing (not at this bank),car (used),3850,... < 100 DM,4 <= ... < 7 years,3,male : single,none,1,"if not A121/A122 : car or other, not in attribute 6",27,none,own,2,skilled employee / official,1,none,yes
367,< 0 DM,18,existing credits paid back duly till now,radio/television,3650,... < 100 DM,... < 1 year ,1,female : divorced/separated/married,none,4,"if not A121/A122 : car or other, not in attribute 6",22,none,rent,1,skilled employee / official,1,none,yes
368,< 0 DM,36,existing credits paid back duly till now,radio/television,3446,... < 100 DM,.. >= 7 years,4,male : single,none,2,"if not A121/A122 : car or other, not in attribute 6",42,none,own,1,skilled employee / official,2,none,yes
369,0 <= ... < 200 DM,18,existing credits paid back duly till now,radio/television,3001,... < 100 DM,4 <= ... < 7 years,2,female : divorced/separated/married,none,4,real estate,40,none,rent,1,skilled employee / official,1,none,yes
370,no checking account,36,existing credits paid back duly till now,car (new),3079,unknown/ no savings account,1 <= ... < 4 years,4,male : single,none,4,real estate,36,none,own,1,skilled employee / official,1,none,yes
371,no checking account,18,critical account/ other credits existing (not at this bank),domestic appliances,6070,... < 100 DM,.. >= 7 years,3,male : single,none,4,"if not A121/A122 : car or other, not in attribute 6",33,none,own,2,skilled employee / official,1,"yes, registered under the customers name ",yes
372,no checking account,10,critical account/ other credits existing (not at this bank),radio/television,2146,... < 100 DM,... < 1 year ,1,female : divorced/separated/married,none,3,real estate,23,none,rent,2,skilled employee / official,1,none,yes
373,no checking account,60,critical account/ other credits existing (not at this bank),car (new),13756,unknown/ no savings account,.. >= 7 years,2,male : single,none,4,unknown / no property,63,bank,for free,1,management/ self-employed/ highly qualified employee/ officer,1,"yes, registered under the customers name ",yes
374,0 <= ... < 200 DM,60,all credits at this bank paid back duly,furniture/equipment,14782,100 <= ... < 500 DM,.. >= 7 years,3,female : divorced/separated/married,none,4,unknown / no property,60,bank,for free,2,management/ self-employed/ highly qualified employee/ officer,1,"yes, registered under the customers name ",yes
375,< 0 DM,48,all credits at this bank paid back duly,business,7685,... < 100 DM,4 <= ... < 7 years,2,female : divorced/separated/married,guarantor,4,"if not A121/A122 : car or other, not in attribute 6",37,none,rent,1,skilled employee / official,1,none,yes
376,no checking account,18,delay in paying off in the past,domestic appliances,2320,... < 100 DM,unemployed,2,male : married/widowed,none,3,real estate,34,none,own,2,skilled employee / official,1,none,yes
377,no checking account,7,delay in paying off in the past,domestic appliances,846,unknown/ no savings account,.. >= 7 years,3,male : single,none,4,unknown / no property,36,none,for free,1,skilled employee / official,1,none,yes
378,0 <= ... < 200 DM,36,existing credits paid back duly till now,car (new),14318,... < 100 DM,.. >= 7 years,4,male : single,none,2,unknown / no property,57,none,for free,1,management/ self-employed/ highly qualified employee/ officer,1,"yes, registered under the customers name ",yes
379,no checking account,6,critical account/ other credits existing (not at this bank),car (new),362,100 <= ... < 500 DM,1 <= ... < 4 years,4,female : divorced/separated/married,none,4,"if not A121/A122 : car or other, not in attribute 6",52,none,own,2,unskilled - resident,1,none,yes
380,< 0 DM,20,existing credits paid back duly till now,radio/television,2212,unknown/ no savings account,4 <= ... < 7 years,4,male : single,none,4,"if not A121/A122 : car or other, not in attribute 6",39,none,own,1,skilled employee / official,1,"yes, registered under the customers name ",yes
381,0 <= ... < 200 DM,18,existing credits paid back duly till now,car (used),12976,... < 100 DM,unemployed,3,female : divorced/separated/married,none,4,unknown / no property,38,none,for free,1,management/ self-employed/ highly qualified employee/ officer,1,"yes, registered under the customers name ",yes
382,no checking account,22,existing credits paid back duly till now,car (new),1283,unknown/ no savings account,4 <= ... < 7 years,4,female : divorced/separated/married,none,4,if not A121 : building society savings agreement/ life insurance,25,none,rent,1,skilled employee / official,1,none,yes
383,>= 200 DM / salary assignments for at least 1 year,12,existing credits paid back duly till now,car (new),1330,... < 100 DM,... < 1 year ,4,male : single,none,1,real estate,26,none,own,1,skilled employee / official,1,none,yes
384,no checking account,30,delay in paying off in the past,business,4272,100 <= ... < 500 DM,1 <= ... < 4 years,2,male : single,none,2,if not A121 : building society savings agreement/ life insurance,26,none,own,2,unskilled - resident,1,none,yes
385,no checking account,18,critical account/ other credits existing (not at this bank),domestic appliances,2238,... < 100 DM,1 <= ... < 4 years,2,female : divorced/separated/married,none,1,"if not A121/A122 : car or other, not in attribute 6",25,none,own,2,skilled employee / official,1,none,yes
386,no checking account,18,existing credits paid back duly till now,domestic appliances,1126,unknown/ no savings account,... < 1 year ,4,female : divorced/separated/married,none,2,real estate,21,none,rent,1,skilled employee / official,1,"yes, registered under the customers name ",yes
387,0 <= ... < 200 DM,18,critical account/ other credits existing (not at this bank),radio/television,7374,... < 100 DM,unemployed,4,male : single,none,4,if not A121 : building society savings agreement/ life insurance,40,stores,own,2,management/ self-employed/ highly qualified employee/ officer,1,"yes, registered under the customers name ",yes
388,0 <= ... < 200 DM,15,critical account/ other credits existing (not at this bank),business,2326,500 <= ... < 1000 DM ,1 <= ... < 4 years,2,male : single,none,4,"if not A121/A122 : car or other, not in attribute 6",27,bank,own,1,skilled employee / official,1,none,yes
389,no checking account,9,existing credits paid back duly till now,business,1449,... < 100 DM,4 <= ... < 7 years,3,female : divorced/separated/married,none,2,"if not A121/A122 : car or other, not in attribute 6",27,none,own,2,skilled employee / official,1,none,yes
390,no checking account,18,existing credits paid back duly till now,car (new),1820,... < 100 DM,1 <= ... < 4 years,2,male : married/widowed,none,2,if not A121 : building society savings agreement/ life insurance,30,none,own,1,management/ self-employed/ highly qualified employee/ officer,1,"yes, registered under the customers name ",yes
391,0 <= ... < 200 DM,12,existing credits paid back duly till now,radio/television,983,.. >= 1000 DM ,... < 1 year ,1,female : divorced/separated/married,none,4,real estate,19,none,rent,1,unskilled - resident,1,none,yes
392,< 0 DM,36,existing credits paid back duly till now,car (new),3249,... < 100 DM,4 <= ... < 7 years,2,male : single,none,4,unknown / no property,39,bank,for free,1,management/ self-employed/ highly qualified employee/ officer,2,"yes, registered under the customers name ",yes
393,< 0 DM,6,critical account/ other credits existing (not at this bank),domestic appliances,1957,... < 100 DM,4 <= ... < 7 years,1,female : divorced/separated/married,none,4,"if not A121/A122 : car or other, not in attribute 6",31,none,own,1,skilled employee / official,1,none,yes
394,no checking account,9,critical account/ other credits existing (not at this bank),radio/television,2406,... < 100 DM,unemployed,2,male : single,none,3,"if not A121/A122 : car or other, not in attribute 6",31,none,own,1,management/ self-employed/ highly qualified employee/ officer,1,none,yes
